item,category,price,quantity,rating
item_102,Toys,87.41,6,3.6
item_103,Clothing,83.76,10,2.7
item_104,Electronics,,5,1.5
item_105,Sports,,23,
item_106,Home,59.84,10,3.8
item_107,Toys,19.45,44,3.7
item_108,Home,53.61,2,4.3
item_109,Home,71.42,13,3.1
item_110,Electronics,65.29,40,4.3
item_111,Home,,2,3.0
item_112,Sports,32.75,20,1.3
item_113,Home,65.81,1,2.6
item_114,Electronics,62.66,37,3.0
item_115,Sports,4.92,9,3.9
item_116,Clothing,0.87,17,1.4
item_117,Home,48.47,9,1.6
item_118,Electronics,38.21,11,2.1
item_119,Clothing,44.03,15,2.1
item_120,Clothing,41.77,24,3.9
item_121,Toys,69.68,38,2.0
item_122,Sports,52.07,35,3.5
item_123,Home,55.35,30,3.0
item_124,Electronics,23.15,31,3.3
item_125,Toys,-17.28,49,4.4
item_126,Sports,72.47,5,2.6
item_127,Toys,92.86,44,4.1
item_128,Sports,,14,2.7
item_129,Sports,54.99,11,2.4
item_130,Home,56.49,9,4.8
item_131,Sports,1670.2,34,
item_132,Toys,67.78,12,1.4
item_133,Sports,59.92,35,4.1
item_134,Home,51.11,35,1.3
item_135,Home,51.2,1,4.3
item_136,Toys,21.21,40,2.7
item_137,Clothing,42.33,22,4.7
item_138,Clothing,67.72,29,3.9
item_139,Sports,45.33,8,3.4
item_140,Electronics,50.89,11,4.8
item_141,Sports,26.48,41,2.6
item_142,Toys,,37,
item_143,Toys,20.76,14,1.5
item_144,Toys,55.8,30,2.9
item_145,Toys,,35,2.1
item_146,Toys,15.13,21,3.2
item_147,Home,71.39,37,1.6
item_148,Clothing,46.72,5,4.4
item_149,Toys,87.22,19,4.4
item_150,Electronics,79.57,14,4.8
item_151,Electronics,32.41,26,1.6
item_152,Electronics,34.17,4,3.5
item_153,Electronics,26.56,25,2.9
item_154,Home,18.27,45,
item_155,Electronics,831.2,42,2.4
item_156,Toys,78.87,25,2.7
item_157,Sports,11.7,18,3.8
item_158,Electronics,67.04,40,3.4
item_159,Home,65.37,8,2.8
item_160,Home,,39,1.3
item_161,Electronics,64.66,40,
item_162,Sports,27.92,14,1.0
item_163,Electronics,65.23,32,4.9
item_164,Home,39.01,38,1.0
item_165,Clothing,0.82,33,1.4
item_166,Toys,51.15,23,2.3
item_167,Home,33.12,15,4.2
item_168,Electronics,77.18,33,4.8
item_169,Toys,44.27,25,4.2
item_170,Electronics,50.91,17,3.8
item_171,Electronics,57.78,33,3.1
item_172,Clothing,44.65,47,1.3
item_173,Toys,47.92,2,4.8
item_174,Toys,66.87,14,4.0
item_175,Clothing,28.67,40,3.6
item_176,Home,,40,4.0
item_177,Electronics,30.66,39,3.9
item_178,Sports,78.74,6,3.5
item_179,Electronics,35.97,6,4.9
item_180,Electronics,47.13,3,4.6
item_181,Home,37.99,7,
item_182,Electronics,43.84,8,3.8
item_183,Clothing,35.25,42,1.2
item_184,Clothing,59.25,15,3.7
item_185,Toys,29.18,47,1.2
item_186,Sports,22.95,29,
item_187,Electronics,38.83,33,5.0
item_188,Electronics,34.04,30,3.2
item_189,Home,23.24,39,2.9
item_190,Clothing,43.53,27,2.3
item_191,Sports,16.8,36,1.5
item_192,Toys,84.55,29,3.9
item_193,Clothing,20.15,38,1.8
item_194,Toys,37.07,33,1.5
item_195,Home,41.93,37,2.7
item_196,Home,,27,4.2
item_197,Electronics,15.39,33,4.0
item_198,Sports,52.84,4,1.2
item_199,Toys,70.74,22,2.8
item_200,Clothing,,2,3.1
item_201,Home,26.6,10,3.6
item_202,Electronics,47.84,5,3.6
item_203,Electronics,80.54,10,2.5
item_204,Toys,37.68,33,3.2
item_205,Home,78.72,38,
item_206,Sports,55.17,13,4.5
item_207,Home,74.65,31,3.1
item_208,Toys,54.37,47,
item_209,Toys,40.31,36,2.6
item_210,Home,82.78,45,3.3
item_211,Toys,,24,4.2
item_212,Home,53.33,15,3.2
item_213,Clothing,66.15,29,3.6
item_214,Home,68.48,8,4.0
item_215,Home,66.26,5,3.1
item_216,Toys,22.99,29,2.7
item_217,Toys,37.26,47,4.5
item_218,Electronics,36.87,4,2.7
item_219,Electronics,34.42,12,2.8
item_220,Clothing,32.56,45,5.0
item_221,Electronics,36.58,2,1.0
item_222,Home,56.72,27,1.7
item_223,Toys,59.89,31,2.5
item_224,Electronics,49.97,36,4.7
item_225,Electronics,41.48,36,1.3
item_226,Clothing,75.51,26,1.0
item_227,Clothing,48.17,43,1.2
item_228,Home,68.74,27,1.4
item_229,Toys,38.61,5,1.2
item_230,Clothing,58.27,20,2.9
item_231,Electronics,76.84,11,3.3
item_232,Toys,-2.18,10,2.1
item_233,Toys,36.9,40,2.6
item_234,Electronics,61.87,38,1.4
item_235,Clothing,,6,2.3
item_236,Electronics,54.06,8,3.1
item_237,Toys,50.99,23,3.9
item_238,Sports,82.21,47,1.0
item_239,Sports,75.48,26,2.9
item_240,Home,32.63,46,2.2
item_241,Electronics,,43,4.4
item_242,Electronics,57.2,12,3.9
item_243,Home,84.37,26,3.4
item_244,Home,67.32,13,2.1
item_245,Home,47.93,40,4.6
item_246,Toys,54.4,18,1.2
item_247,Electronics,12.32,25,1.4
item_248,Toys,69.37,33,2.6
item_249,Home,62.91,47,1.5
item_250,Electronics,74.24,40,4.8
item_251,Toys,,43,4.2
item_252,Toys,52.56,12,2.0
item_253,Home,40.37,44,3.4
item_254,Electronics,27.04,36,4.9
item_255,Home,37.95,48,4.5
item_256,Electronics,13.61,4,3.4
item_257,Sports,68.29,5,4.6
item_258,Clothing,6.5,37,5.0
item_259,Clothing,90.64,8,4.0
item_260,Clothing,14.72,42,1.3
item_261,Home,80.0,49,2.6
item_262,Sports,31.84,28,4.4
item_263,Electronics,61.22,31,1.9
item_264,Toys,34.95,9,4.3
item_265,Electronics,83.47,29,
item_266,Toys,50.87,14,1.2
item_267,Electronics,71.47,40,2.5
item_268,Sports,51.52,41,1.1
item_269,Toys,57.06,22,4.8
item_270,Home,62.32,11,4.3
item_271,Electronics,39.43,23,4.2
item_272,Electronics,24.39,1,3.5
item_273,Toys,23.97,46,1.9
item_274,Home,51.02,37,
item_275,Home,40.23,21,3.4
item_276,Sports,7.08,26,3.1
item_277,Home,60.26,46,2.0
item_278,Home,25.63,36,3.1
item_279,Home,26.79,23,3.0
item_280,Clothing,49.17,1,5.0
item_281,Sports,32.0,40,4.6
item_282,Electronics,52.45,15,2.9
item_283,Toys,89.47,21,3.5
item_284,Electronics,848.4000000000001,47,4.0
item_285,Sports,28.81,9,1.1
item_286,Toys,53.63,9,4.6
item_287,Sports,34.5,10,4.4
item_288,Home,50.48,26,2.8
item_289,Toys,56.31,41,2.6
item_290,Home,49.3,35,2.1
item_291,Electronics,51.13,25,2.9
item_292,Electronics,53.84,26,1.2
item_293,Toys,81.94,11,4.4
item_294,Toys,44.94,38,1.1
item_295,Sports,52.55,2,2.3
item_296,Sports,67.34,7,4.7
item_297,Home,59.42,18,3.9
item_298,Toys,42.84,27,
item_299,Electronics,68.04,34,2.0
item_189,Home,23.24,39,2.9
item_123,Home,55.35,30,3.0
item_185,Toys,29.18,47,1.2
item_213,Clothing,66.15,29,3.6
item_106,Home,59.84,10,3.8
item_127,Toys,92.86,44,4.1
item_176,Home,,40,4.0
item_73,Clothing,68.52,2,1.5
item_275,Home,40.23,21,3.4
item_242,Electronics,57.2,12,3.9
